
 num     #instances         #bytes  class name
 306:            65           2504  [Ljavax.management.MBeanOperationInfo;
 307:            38           2432  org.springframework.boot.loader.jar.JarFileEntries$1
 308:            75           2400  sun.reflect.UnsafeStaticObjectFieldAccessorImpl
 309:           146           2336  java.util.TreeMap$Values
 310:           145           2320  [Ljava.beans.BeanInfo;
 311:           140           2240  java.lang.reflect.WeakCache$LookupValue
 312:            92           2208  java.lang.invoke.MethodHandles$Lookup
 313:            55           2200  javax.management.ObjectName
 314:           135           2160  java.util.TreeMap$KeySet
 315:           135           2160  org.springframework.cglib.core.EmitUtils$13
 316:           134           2144  java.util.TreeSet
 317:            44           2112  sun.util.locale.LocaleObjectCache$CacheEntry
 318:           128           2048  java.lang.Character
 319:           128           2048  org.apache.catalina.webresources.Cache$EvictionOrder
 320:            51           2040  java.lang.reflect.Proxy$Key2
 321:           105           2032  [Ljava.lang.reflect.Parameter;
 322:            63           2016  java.lang.reflect.WeakCache$CacheValue
 323:            84           2016  java.util.regex.Pattern$1
 324:            42           2016  org.springframework.cglib.reflect.FastClass$Generator
 325:            62           1984  org.springframework.cglib.proxy.MethodProxy$CreateInfo
 326:            49           1960  java.lang.reflect.Parameter
 327:           121           1936  sun.misc.ProxyGenerator$ConstantPool$ValueEntry
 328:            59           1888  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$$Lambda$177/1226622409
 329:            70           1856  [Ljava.lang.annotation.ElementType;
 330:            38           1824  org.springframework.boot.loader.jar.JarFileEntries
 331:            74           1776  org.springframework.boot.context.properties.source.DefaultPropertyMapper$LastMapping
 332:            54           1728  org.springframework.cglib.proxy.MethodProxy$FastClassInfo
 333:            70           1680  java.security.Provider$ServiceKey
 334:            52           1664  sun.reflect.annotation.AnnotationType
 335:            69           1656  java.io.ExpiringCache$Entry
 336:            68           1632  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$$Lambda$180/2092769598
 337:            68           1632  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor$$Lambda$181/422392391
 338:            68           1632  org.springframework.context.annotation.CommonAnnotationBeanPostProcessor$$Lambda$178/767010715
 339:            68           1632  org.springframework.context.annotation.CommonAnnotationBeanPostProcessor$$Lambda$179/1391942103
 340:            51           1632  org.springframework.core.annotation.DefaultAnnotationAttributeExtractor
 341:            25           1600  java.util.regex.Matcher
 342:            40           1600  sun.management.DiagnosticCommandArgumentInfo
 343:            66           1584  java.util.Collections$1
 344:            66           1584  java.util.regex.Pattern$GroupHead
 345:            66           1584  java.util.regex.Pattern$GroupTail
 346:             1           1568  [[B
 347:            27           1512  java.security.Provider$Service
 348:            63           1512  java.util.Collections$SingletonList
 349:            27           1512  org.apache.tomcat.util.res.StringManager$1
 350:            63           1512  org.springframework.boot.context.properties.source.ConfigurationPropertyName$$Lambda$53/370988149
 351:            94           1504  [Ljava.security.Principal;
 352:            94           1504  java.security.ProtectionDomain$Key
 353:            47           1504  java.util.regex.Pattern$Branch
 354:            62           1488  java.util.regex.Pattern$Slice
 355:            37           1480  org.springframework.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$4ce19e8f
 356:            30           1440  java.time.temporal.ValueRange
 357:            88           1408  com.sun.proxy.$Proxy34
 358:            44           1408  java.util.zip.ZipCoder
 359:             8           1408  org.springframework.asm.ClassWriter
 360:            25           1400  [Ljava.util.regex.Pattern$GroupHead;
 361:             1           1376  [Lsun.misc.FDBigInteger;
 362:            57           1368  java.util.ArrayDeque
 363:            34           1360  org.springframework.core.io.ResourceEditor
 364:            34           1360  org.springframework.core.io.support.ResourceArrayPropertyEditor
 365:            47           1352  [Ljava.util.regex.Pattern$Node;
 366:            56           1344  java.util.regex.Pattern$Single
 367:            56           1344  org.springframework.beans.TypeConverterDelegate
 368:            55           1320  org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata$FactoryMetadata
 369:            54           1296  com.sun.jmx.mbeanserver.NamedObject
 370:            54           1296  org.springframework.core.annotation.SynthesizedAnnotationInvocationHandler
 371:            40           1280  java.util.Collections$SynchronizedMap
 372:            52           1248  java.util.regex.Pattern$BitClass
 373:            22           1232  java.util.stream.ReferencePipeline$Head
 374:            51           1224  org.springframework.core.convert.TypeDescriptor
 375:            51           1224  org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter
 376:            38           1216  java.security.Permissions
 377:            30           1200  java.time.temporal.ChronoField
 378:            38           1184  [Ljava.math.BigInteger;
 379:            74           1184  java.util.jar.Attributes
 380:            37           1184  sun.reflect.UnsafeObjectFieldAccessorImpl
 381:            49           1176  org.springframework.boot.autoconfigure.condition.OnClassCondition
 382:            49           1176  sun.misc.ProxyGenerator$ExceptionTableEntry
 383:            73           1168  com.sun.proxy.$Proxy9
 384:            29           1160  java.io.FileDescriptor
 385:            29           1160  java.util.PropertyResourceBundle
 386:            48           1152  java.net.URLClassLoader$2
 387:             8           1152  java.text.DecimalFormat
 388:            36           1152  org.springframework.cglib.core.WeakCacheKey
 389:            36           1152  org.springframework.cglib.proxy.Enhancer$EnhancerFactoryData
 390:            11           1144  org.springframework.beans.factory.support.GenericBeanDefinition
 391:             6           1120  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 392:            37           1120  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser;
 393:            35           1120  java.io.FilePermission
 394:            46           1104  org.springframework.http.MediaType
 395:            23           1104  sun.management.DiagnosticCommandInfo
 396:            34           1088  org.springframework.beans.propertyeditors.ClassArrayEditor
 397:            34           1088  org.springframework.beans.propertyeditors.ClassEditor
 398:            34           1088  org.springframework.beans.propertyeditors.FileEditor
 399:            34           1088  org.springframework.beans.propertyeditors.InputSourceEditor
 400:            34           1088  org.springframework.beans.propertyeditors.InputStreamEditor
 401:            34           1088  org.springframework.beans.propertyeditors.PathEditor
 402:            34           1088  org.springframework.beans.propertyeditors.ReaderEditor
 403:            34           1088  org.springframework.beans.propertyeditors.URIEditor
 404:            34           1088  org.springframework.beans.propertyeditors.URLEditor
 405:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 406:            34           1088  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 407:            19           1064  sun.misc.URLClassPath$JarLoader
 408:            33           1056  java.util.regex.Pattern$Curly
 409:            44           1056  org.springframework.context.event.GenericApplicationListenerAdapter
 410:             1           1040  [Ljava.lang.Byte;
 411:             1           1040  [Ljava.lang.Integer;
 412:             1           1040  [Ljava.lang.Long;
 413:             1           1040  [Ljava.lang.Short;
 414:            26           1040  java.util.IdentityHashMap
 415:            43           1032  java.util.regex.Pattern$Start
 416:            64           1024  [Lorg.apache.tomcat.util.modeler.NotificationInfo;
 417:            32           1024  java.io.File
 418:            32           1024  java.util.Collections$UnmodifiableMap
 419:            32           1024  org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory$$Lambda$112/1513712028
 420:            32           1024  org.springframework.beans.factory.support.AbstractBeanFactory$$Lambda$111/2101440631
 421:            63           1008  org.springframework.boot.context.properties.source.SpringConfigurationPropertySource$DelegatingPropertyMapper$$Lambda$51/804611486
 422:            18           1008  org.springframework.core.ResolvableType$1
 423:            25           1000  java.lang.invoke.DirectMethodHandle$Interface
 424:            25           1000  java.time.format.DateTimeFormatter
 425:            62            992  org.apache.juli.logging.DirectJDKLog
 426:            40            960  java.lang.invoke.ConstantCallSite
 427:            40            960  java.lang.invoke.InfoFromMemberName
 428:            40            960  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator
 429:            30            960  java.security.Provider$EngineDescription
 430:            24            960  org.apache.tomcat.util.modeler.BaseModelMBean
 431:            24            960  org.springframework.core.annotation.AnnotationUtils$AliasDescriptor
 432:            29            928  jdk.internal.org.objectweb.asm.Type
 433:            58            928  org.springframework.boot.context.properties.source.SpringIterableConfigurationPropertySource$CacheKey
 434:            29            928  org.springframework.format.support.FormattingConversionService$PrinterConverter
 435:            38            912  org.springframework.boot.loader.jar.Handler
 436:            19            912  sun.misc.ProxyGenerator$MethodInfo
 437:            16            896  [Lcom.sun.org.apache.xalan.internal.utils.XMLSecurityManager$Limit;
 438:            28            896  [Lcom.sun.org.apache.xalan.internal.utils.XMLSecurityManager$NameMap;
 439:            28            896  com.fasterxml.jackson.databind.DeserializationFeature
 440:            37            888  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser
 441:            37            888  java.util.jar.Manifest
 442:            37            888  java.util.regex.Pattern$Dollar
 443:            37            888  sun.misc.URLClassPath$Loader
 444:            36            864  com.sun.org.apache.xerces.internal.util.XMLStringBuffer
 445:            36            864  java.io.FilePermissionCollection
 446:            53            848  java.lang.ThreadLocal
 447:            15            840  java.lang.invoke.LambdaFormEditor$Transform
 448:            15            840  javax.management.openmbean.ArrayType
 449:            21            840  sun.util.locale.BaseLocale$Key
 450:            26            832  com.fasterxml.jackson.databind.MapperFeature
 451:            26            832  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser
 452:            26            832  org.hibernate.validator.internal.engine.valueextraction.ValueExtractorDescriptor
 453:            17            816  java.util.Properties
 454:            20            800  com.sun.jmx.mbeanserver.MXBeanSupport
 455:            50            800  com.sun.proxy.$Proxy0
 456:            20            800  org.apache.tomcat.util.collections.ManagedConcurrentWeakHashMap$Key
 457:            43            784  [Ljavax.management.MBeanNotificationInfo;
 458:            49            784  com.sun.proxy.$Proxy3
 459:             7            784  java.util.GregorianCalendar
 460:             8            768  [Lcom.sun.org.apache.xerces.internal.xni.QName;
 461:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping
